ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,label
2025-06-04 17:14:11.170044899,Csjkf50aFFSuqkGll,10.0.2.15,51124,140.82.113.4,443,TLSv13,TLS_AES_128_GCM_SHA256,secp256r1,github.com,F,-,-,T,CsiI,-,-,-,1
2025-06-04 17:14:40.716583014,C88EbA42d4CqzoGOk9,10.0.2.15,47072,157.240.229.35,443,TLSv13,TLS_CHACHA20_POLY1305_SHA256,x25519,facebook.com,F,-,-,T,CsiI,-,-,-,1
2025-06-04 17:14:58.234934092,C6Jxw2342HFkHBTeY3,10.0.2.15,44972,208.80.154.224,443,TLSv13,TLS_AES_128_GCM_SHA256,secp256r1,wikipedia.org,F,-,-,T,CsiI,-,-,-,1
2025-06-04 17:15:42.011292934,CP47Y1izMp3k0PWkk,10.0.2.15,44832,34.160.111.145,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,ifconfig.me,F,-,-,T,CsiI,-,-,-,1
