ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert
2024-08-15 00:10:22.466682911,CimOI44EVEUM0uy66,10.8.15.133,49757,20.241.44.114,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,g.live.com,F,-,-,T,CsxuknGIi,"fc874237221d004abd0cac814f94a4f8dd39b07808d29501c4fa2efcfc5c9a5e,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T
2024-08-15 00:10:22.465634108,Cr56RUkQaSqrPlXob,10.8.15.133,49755,52.109.0.142,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,odc.officeapps.live.com,F,-,-,T,CsxuknGIi,"ab9fe3657a8aa4f231b00bf95b76a2870745a2e94de394e9b0631b5c3143befc,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03",(empty),T
2024-08-15 00:10:23.071041107,Cbm7lr4GBrnNMyvvUh,10.8.15.133,49758,23.63.205.134,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,oneclient.sfx.ms,F,-,-,T,CsxuknGIti,"cc774afaa1a20ea56c2b0df8a3e2ff49225fff7ae5025cd1f22e21963b01ad6f,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03,cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f",(empty),T
2024-08-15 00:10:26.203054905,Czea3735j71tuXZJZ3,10.8.15.133,49759,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,default.exp-tas.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:46.525783062,CKQ8XJ1sahMudJZPi2,10.8.15.133,49761,13.107.6.158,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,business.bing.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:46.525337933,Cj3TBa4jBXBpFGvCw4,10.8.15.133,49762,13.107.6.158,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,business.bing.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:47.157232046,CN77HN1heRcbHpM3D2,10.8.15.133,49760,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,ntp.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:47.738589048,C6v7IY3xl5eh7EV6w9,10.8.15.133,49764,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:47.822273016,CD8n4X2pyRWuUtalyb,10.8.15.133,49769,18.160.156.115,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,sb.scorecardresearch.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:47.821571112,CO7QX432CRrkQkcdVd,10.8.15.133,49770,23.205.110.12,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,img-s-msn-com.akamaized.net,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:47.821214914,C8g6uP395GSfWh7Jxa,10.8.15.133,49767,23.53.13.203,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:47.778060913,CHEGdU8vNWG0nTbl9,10.8.15.133,49765,13.107.21.237,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,c.bing.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:47.820816040,CW7TiyirIsKAihJ7d,10.8.15.133,49768,23.53.13.203,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-
